date,Motor,Finance,HeavyIndustries,Corporation,Electric,Estate
2016/5/2,461 ,504 ,382 ,1780 ,1189 ,2081 
2016/4/28,449 ,520 ,398 ,1863 ,1198 ,2121 
2016/4/27,422 ,553 ,411 ,1924 ,1224 ,2233 
2016/4/26,434 ,561 ,422 ,1913 ,1236 ,2256 
2016/4/25,480 ,582 ,438 ,1962 ,1243 ,2299 
2016/4/22,504 ,579 ,433 ,1965 ,1227 ,2286 
2016/4/21,583 ,544 ,430 ,1971 ,1227 ,2231 
2016/4/20,733 ,539 ,418 ,1936 ,1231 ,2143 
2016/4/19,864 ,545 ,429 ,1946 ,1250 ,2108 
2016/4/18,815 ,511 ,408 ,1892 ,1204 ,2066 
2016/4/15,847 ,534 ,426 ,1985 ,1250 ,2134 
2016/4/14,849 ,543 ,430 ,1995 ,1248 ,2158 
2016/4/13,825 ,528 ,423 ,1920 ,1198 ,2075 
2016/4/12,809 ,506 ,403 ,1843 ,1133 ,2032 
2016/4/11,778 ,478 ,386 ,1789 ,1106 ,2001 
2016/4/8,793 ,490 ,385 ,1791 ,1113 ,2010 
2016/4/7,787 ,483 ,378 ,1776 ,1091 ,2007 
2016/4/6,794 ,485 ,373 ,1758 ,1093 ,2008 
2016/4/5,781 ,487 ,371 ,1777 ,1087 ,2013 
2016/4/4,787 ,509 ,387 ,1862 ,1127 ,2044 
2016/4/1,803 ,509 ,392 ,1840 ,1127 ,2043 
2016/3/31,843 ,522 ,418 ,1906 ,1180 ,2091 
2016/3/30,847 ,512 ,418 ,1936 ,1190 ,2108 
2016/3/29,859 ,533 ,429 ,1992 ,1198 ,2148 
2016/3/28,867 ,538 ,431 ,1983 ,1200 ,2127 
2016/3/25,861 ,536 ,431 ,1981 ,1185 ,2120 
2016/3/24,835 ,529 ,420 ,1920 ,1153 ,2133 
2016/3/23,847 ,546 ,426 ,2002 ,1172 ,2183 
2016/3/22,840 ,553 ,435 ,2050 ,1189 ,2185 
2016/3/18,824 ,548 ,432 ,2036 ,1166 ,2132 
2016/3/17,844 ,554 ,436 ,2018 ,1176 ,2140 
2016/3/16,848 ,549 ,439 ,2020 ,1176 ,2144 
2016/3/15,848 ,570 ,436 ,2051 ,1185 ,2166 
2016/3/14,864 ,578 ,438 ,2080 ,1206 ,2195 
2016/3/11,839 ,554 ,430 ,2074 ,1194 ,2150 
2016/3/10,828 ,536 ,429 ,2042 ,1197 ,2123 
2016/3/9,816 ,525 ,423 ,2007 ,1162 ,2133 
2016/3/8,812 ,539 ,432 ,2042 ,1173 ,2190 
2016/3/7,843 ,553 ,438 ,2061 ,1199 ,2164 
2016/3/4,852 ,560 ,438 ,2054 ,1225 ,2196 
2016/3/3,847 ,551 ,427 ,2013 ,1219 ,2216 
2016/3/2,838 ,511 ,409 ,1913 ,1209 ,2202 
2016/3/1,804 ,483 ,388 ,1808 ,1130 ,2126 
2016/2/29,804 ,487 ,402 ,1807 ,1144 ,2094 
2016/2/26,818 ,489 ,407 ,1844 ,1142 ,2140 
2016/2/25,807 ,487 ,405 ,1880 ,1140 ,2150 
2016/2/24,807 ,479 ,401 ,1855 ,1121 ,2100 
2016/2/23,818 ,474 ,413 ,1911 ,1133 ,2088 
2016/2/22,809 ,477 ,410 ,1872 ,1134 ,2145 
2016/2/19,816 ,486 ,410 ,1866 ,1119 ,2160 
2016/2/18,834 ,503 ,419 ,1886 ,1144 ,2154 
2016/2/17,812 ,489 ,404 ,1737 ,1082 ,2132 
2016/2/16,846 ,501 ,404 ,1784 ,1074 ,2156 
2016/2/15,838 ,485 ,386 ,1731 ,1057 ,2123 
2016/2/12,775 ,446 ,351 ,1567 ,949 ,1975 
2016/2/10,836 ,456 ,376 ,1658 ,1043 ,2088 
2016/2/9,856 ,491 ,389 ,1734 ,1074 ,2135 
2016/2/8,931 ,538 ,427 ,1870 ,1143 ,2253 
2016/2/5,892 ,538 ,422 ,1866 ,1124 ,2232 
2016/2/4,874 ,558 ,430 ,1824 ,1119 ,2331 
